username;caption;tag;tagId;link
{"username":"mooer_pedals","username":"mooer_pedals"};"Just a couple of dudes hanging out at the local music store...#Mooer guitar amplifiers are ridiculous value for money. They have awesome, very workable tones in their ultra small design. Crank one at your local Australian #Mooerpedals authorised dealers today! #mooeramplifiers #musicstore #guitar #guitaramp #ampoftheday";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12501545_239043693107846_1377585320_n.jpg?ig_cache_key=MTIxMzQxNzIwNzkyMjI5MDc3MQ%3D%3D.2"
"searlsguitars";"Last guitar pickup in the old workshop, congrats Nick on your NGD!\n\nwww.facebook.com/searlsguitars \nwww.searlsguitars.com\n\n#customguitar #guitar #gotwood #geartalk #guitarporn #luthier #guitarmaker #boutiqueguitars #searls #searlsguitars #tonewood #woodwork #ballarat #australia #ngd";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10986115_239245793089295_526328927_n.jpg?ig_cache_key=MTIxMzQxNzEzNTA0MjI5NTY2Ng%3D%3D.2"
"evahelmond";"Oh more music in my life please! Miss making music with others and singing my heart out! #music #guitar #nycgirl #readyformagic #spring";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12530863_1754529211444600_2036916721_n.jpg?ig_cache_key=MTIxMzQxNzEyNTAxOTEzNDAxOQ%3D%3D.2"
"der_tag_ist_so_freudenreich";"Informe de un dia #electricbass #bass #rockargentino #bluesrock #guitar #illusion #classicmusic #manal #night";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11934754_809557512478750_1121682468_n.jpg?ig_cache_key=MTIxMzQxNjkzNTY0ODExNjQxOQ%3D%3D.2"
"jayskate46";"#recording#session#guitar";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12224420_1716150878602700_1803826233_n.jpg?ig_cache_key=MTIxMzQxNjg2NjE5NzM4ODYwMQ%3D%3D.2"
"dem_metalcore_bands_";"I miss my old hair tbh #bands#love#guitar#blueeyes#scenegirl#theamittyaffliction#purplehair#bored#metalcore#bringmethehorizon#Attila#askingalexandra#fallinginreverse#scenemodel#sceneteen#memphismayfire#meshuggah#paramore#nirvana#slipknot#sleepingwithsirens#scene#mushroomhead#chelseagrinsuicidescilence#inthismoment#motionlessinwhite#kellinquinn#oliskyes";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12383354_1047454865321728_865904521_n.jpg?ig_cache_key=MTIxMzQxNjcxNjYwNDkyNTE0Mg%3D%3D.2"
{"username":"justinbieber","username":"loveyourself.w","username":"mysexybiebah","username":"takejerry","username":"justinsexyking","username":"bizzledt","username":"bizzlepurpose_","username":"jerrys.in","username":"rauhls","username":"bizzlemask","username":"omg.bieberfever","username":"justin2eber","username":"bieberthesexy","username":"takebiebah","username":"_takebiebah","username":"justinstardaow","username":"rauhlindrugs","username":"childrauhls"};"Cause if you like the way you look that much\nOh baby you should go and love yourself\n\n#justinbieber #loveyourself #childrauhls #myboy #daddy #butnowiknow #jb22 #guitar #purpose #purposetour #purposeworldtour #justinbieber2016 #swag #purposegirl #rauhls #f4f #l4l #omg #perfect #hot #handstomyself #feels #lovely";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12905051_1349849511708257_1379076896_n.jpg?ig_cache_key=MTIxMzQxMzc4MjkwNzc3ODkyMg%3D%3D.2"
"lucas_da96";"😀🎸🎶 #Guitar";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12080537_1029212837136153_321936112_n.jpg?ig_cache_key=MTIxMzQxNjgxNTUyMjk1MDYwOQ%3D%3D.2.l"
"kfk88";"Matt Heafy @o2academybris \n@kiichichaos #oneshot #repost #lights #light #singer #guitar #guitarist #trivium #triviumband #blackandwhite #black #and #white #instaphoto #metal #uk #uktour #tour #concert #gig #thrash #thrasher #thrashmetal #lighting #metallica #pantera #slayer #80s #pose";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11380063_1571723633140264_2010315599_n.jpg?ig_cache_key=MTIxMzQxNjgwMjk4OTM1ODEzOQ%3D%3D.2"
"themagneticsouls";"#themagneticsouls #themagsouls #lincolnnebraska #lincoln #nebraska #music #recording #macbookpro #logic #logicprox #homestudio #studio #gear #guitar #bass #drums #keyboard";guitar;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12328067_748955825204734_1096614960_n.jpg?ig_cache_key=MTIxMzQxNjc5OTMwNzM2NDQ0MQ%3D%3D.2"
